arxiu	hash	classet	classe	classer	text_orig	text
bcn_cat_tweet_20211021_203425.csv	30cece73019b08c0848aca905d5f4bd14dcf580ca73a64b19c0491dbd08ead6f	9 Mobilitat	9	2	@bcn_ajuntament De 5 carrils de cotxe a tot un carrer destinat al vianant i la bici 👏	de 5 carrils de cotxe a tot un carrer destinat al vianant i la bici
bcn_cat_tweet_20211021_203425.csv	5f68b479369a2c8b66ed6819e85fc9447f4189c96b572a5cf0dcf1079473f59e	9 Mobilitat	9	2	@bcn_ajuntament @bicing @AdaColau avui un policia de la @GUBBarcelona m’ha parat per informar-me que no podia fer servir lateral de via laietana (pintat de color groc) per anar en bicicleta 🚴, tenia entès q si que es podia fer servir. És per vianants/bicicletes o només vianants?	avui un policia de la  m’ha parat per informarme que no podia fer servir lateral de via laietana pintat de color groc per anar en bicicleta   tenia entès q si que es podia fer servir és per vianantsbicicletes o només vianants
bcn_cat_tweet_20211021_203425.csv	64994393b5c47597b4c5d38b67c39d5622933f191157e0e48c28282dfb2ee585	2 Politica	2	1	@bcn_ajuntament El mal humor marxarà quan marxin els inutils q la governen	el mal humor marxarà quan marxin els inutils q la governen
bcn_cat_tweet_20211021_203425.csv	4267add37bcb0e000f8d4b095df3b693ba571327374bf323b50fa1cd20dbc313	2 Politica	2	1	@bcn_ajuntament Però que dieu? Presses? Malhumor?. Estres? Encara serà culpa nostra. Esteu destruint Barcelona. Bruta, insegura, incívica i caòtica. Quines ganes que foteu el camp de l'alcaldia.	però que dieu presses malhumor estres encara serà culpa nostra esteu destruint barcelona bruta insegura incívica i caòtica quines ganes que foteu el camp de lalcaldia
bcn_cat_tweet_20211021_203425.csv	c4001f3ec78647449a4c947bc497c3098975f46c222d9be1e59339cfddde92f8	9 Mobilitat	9	2	RT @danimollc: @bcn_ajuntament Doncs per tenir la ronda St Antoni així dia sí dia també, quasi potser millor que tornin els cotxes…#SantA…	rt   doncs per tenir la ronda st antoni així dia sí dia també quasi potser millor que tornin els cotxes…santa…
bcn_cat_tweet_20211021_203425.csv	6f234152e3162db8e4d36c36800d4b42fd09e670a2cb6590c1cdf593f84706cf	2 Politica	2	1	@bcn_ajuntament ara ens vendrà la moto amb el #vilaveina que en principi s'autodenomina igualitari.. dels 115 hi hauran 63 mínim vilaveins? Si voleu paritat en carrers i places cal que comenceu ve anomenant coses noves sense sexualitzar-les @BCN_CiutatDrets @OCL_H	ara ens vendrà la moto amb el vilaveina que en principi sautodenomina igualitari dels 115 hi hauran 63 mínim vilaveins si voleu paritat en carrers i places cal que comenceu ve anomenant coses noves sense sexualitzarles
bcn_cat_tweet_20211021_203425.csv	defd742053e59c5b8cde53524b4d1a55594b90eed66dc825b09a43e7244c71ca	2 Politica	2	1	RT @RipollOna: @bcn_ajuntament Volem viure i treballar en una ciutat propsera i neta. No volem anar al circ en bicicleta trepitjanr un feme…	rt   volem viure i treballar en una ciutat propsera i neta no volem anar al circ en bicicleta trepitjanr un feme…
bcn_cat_tweet_20211021_203425.csv	ce90739feaeae01ca64be53e6b972266690acfd5f111b947e1af9c85d8f36a3a	5 Urbanisme	5	2	@bcn_ajuntament @silviacasorran I la reforma de Balmes per sobre Pl. Molina per quan?? Ni un bri de verd, voreres estretes.	i la reforma de balmes per sobre pl molina per quan ni un bri de verd voreres estretes
bcn_cat_tweet_20211021_203425.csv	4070a99d0b27cf47852f21f9b2eb3eb65b8bceb7944a65cf0eb5c6a203076f3c	0 No utilitzable	0	0	RT @barcelonactiva: @bcn_ajuntament @jaumecollboni @insnauticabcn @salvamentCat @lourdesugranyes @africa_cardona @consorciedubcn T'ajudem a…	rt         tajudem a…
bcn_cat_tweet_20211021_203425.csv	16666af93558de013db7d15baa8aadab63b693280609205a58406f3d44255b1a	9 Mobilitat	9	2	@bcn_ajuntament Cada dia més content per haver marxat a viure fora de Barcelona, aquesta ciutat on les persones es mouran a sobre del seu unicorn 🦄 que no contamina i purifica la contaminació q deixen els creuers del port.	cada dia més content per haver marxat a viure fora de barcelona aquesta ciutat on les persones es mouran a sobre del seu unicorn   que no contamina i purifica la contaminació q deixen els creuers del port
bcn_cat_tweet_20211021_203425.csv	6315ced253c56ec759a8e987c27524c7754510c46ab560f05f055eec64823fce	5 Urbanisme	5	2	@bcn_ajuntament Quina estanquera més bonica (camuflada) us ha quedat?	quina estanquera més bonica camuflada us ha quedat
bcn_cat_tweet_20211021_203425.csv	42385f6032626a9cd936dc48967f3fbdf14aef896a60c2707143cf0ed93322a3	3 Serveis Municipals	3	2	@bcn_ajuntament        ens diuen que Barcelona té un problema amb els senglars, per que no fan una vatida i, aquesta carn després de passar per l'escorxador i amb totes les garanties sanitàries no es cedeix als menjadors socials?	ens diuen que barcelona té un problema amb els senglars per que no fan una vatida i aquesta carn després de passar per lescorxador i amb totes les garanties sanitàries no es cedeix als menjadors socials
bcn_cat_tweet_20211021_203425.csv	d56de14b6b99d048e01c106f6e4e629b00e0c3a1e042df5bbc6961ee98fab807	2 Politica	2	1	@bcn_ajuntament Mermats, Comuns us fotarem fora de Barcelona!!	mermats comuns us fotarem fora de barcelona
bcn_cat_tweet_20211021_203425.csv	2f7873ee030d33b52a9b5ce524f4c89ed7f921f75dc14d43e6ba9c39491e0680	0 No utilitzable	0	0	RT @barcelonactiva: @bcn_ajuntament @jaumecollboni @insnauticabcn @salvamentCat @lourdesugranyes @africa_cardona Els objectius principals d…	rt        els objectius principals d…
bcn_cat_tweet_20211021_203425.csv	c2cb7ad2d1778c5f074e0d0ff2b431163d9ebbb740bf0ebc9fd265c8f24e7491	9 Mobilitat	9	2	@bcn_ajuntament Carrer pacificat!… grans idees de la Colau! https://t.co/FyrDPVHxBl	carrer pacificat… grans idees de la colau httpstcofyrdpvhxbl
bcn_cat_tweet_20211021_203425.csv	9b877528f9b3d3c269b8948f68033b93b2b3eb0b07b98d7a6334e33580ef4496	5 Urbanisme	5	2	@bcn_ajuntament Aquests arbres i arbusts d’aquí a dos dies seràn morts! I quedarà un carrer de formigó preciós!! Ah i no oblideu que ple de merda!!	aquests arbres i arbusts d’aquí a dos dies seràn morts i quedarà un carrer de formigó preciós ah i no oblideu que ple de merda
bcn_cat_tweet_20211021_203425.csv	b4c0b442441a94a38403f2f783e2ea33ddb75aca92f99a9bf8fd4a81318e6043	5 Urbanisme	5	2	@bcn_ajuntament A la parada bus TMB 3125 fa 2 dies que al vespre-nit està molt fosc perquè els fanals del mig del carrer Tarragona (entre Aragó i València) no estan encesos.	a la parada bus tmb 3125 fa 2 dies que al vesprenit està molt fosc perquè els fanals del mig del carrer tarragona entre aragó i valència no estan encesos
bcn_cat_tweet_20211021_203425.csv	f29637bcba0aa2f6da9de25c6d33b4a633e9299949f39e4cc6e39a8c45186b1d	2 Politica	2	1	RT @ERCbcn: @bcn_ajuntament 👉 2005, 2008. 2017, 2019... any rere any reclamant des d'ERC a #BCN i al Congrés el tancament de la prefectura…	rt     2005 2008 2017 2019 any rere any reclamant des derc a bcn i al congrés el tancament de la prefectura…
bcn_cat_tweet_20211021_203425.csv	628b87e72c282198b3301b5c62860bfeb3a8aafa5107ad3ffd864b6d054e5a62	2 Politica	2	1	@bcn_ajuntament La ciutat està feta una merda i tota la culpa és vostre, colla de inutils, inutilas i inutilis	la ciutat està feta una merda i tota la culpa és vostre colla de inutils inutilas i inutilis
bcn_cat_tweet_20211021_203425.csv	47b5a3f57bd158d1fbce5987ffd0fa618eb23ca92df33baaff7189fd82cc7d30	11 Seguretat Ciutadana	11	3	@bcn_ajuntament 14000 metres més perque els lladres que envolten Barcelona , i que tota la policia coneix i no pot fer-hi res, campin com vulguin robant i assaltant als pobres ciutadans que paguem cada dia més per res a canvi.	14000 metres més perque els lladres que envolten barcelona  i que tota la policia coneix i no pot ferhi res campin com vulguin robant i assaltant als pobres ciutadans que paguem cada dia més per res a canvi
bcn_cat_tweet_20211021_203425.csv	a9fba12d80ce2f4a46b42d716514abdff879ff5e669c89cb5ada40c1a410cc6c	8 OAC	8	3	@bcn_ajuntament avui m’ha ates un Agent Cívic al’OAC Sant Andreu super be. Atent, amable i amb un somriure que li traspassava la mascareta. Felicitats!	avui m’ha ates un agent cívic al’oac sant andreu super be atent amable i amb un somriure que li traspassava la mascareta felicitats
bcn_cat_tweet_20211021_203425.csv	92656ab10dff2fda670b491466476e47bb9635718639ba3a9735570711a7be7f	3 Serveis Municipals	3	2	RT @Silviamateutom1: @bcn_ajuntament, las mangueras continuan tenin alas! Aquesta neteja, ara, mateix carrer St Miquel. El reforç a la, Bar…	rt   las mangueras continuan tenin alas aquesta neteja ara mateix carrer st miquel el reforç a la bar…
bcn_cat_tweet_20211021_203425.csv	db0d66d64f23f02457bd4b08871b95e4a3112c00fbb293a99665c5a704c72d25	6 Cultura	6	2	@bcn_ajuntament @cultura_cat Per a quan un Museu del Llibre i les Arts Gràfiques a Barcelona ?, com per exemple:  https://t.co/w8z7td5mFuA què espera la dita “Ciutat de la Literatura”? https://t.co/56v2qlK7JM	per a quan un museu del llibre i les arts gràfiques a barcelona  com per exemple  httpstcow8z7td5mfua què espera la dita “ciutat de la literatura” httpstco56v2qlk7jm
bcn_cat_tweet_20211021_203425.csv	872eed2ee521794aaf3476f4b8755a3c7eb8b7919e4dd5805de3a3abe13f8dba	6 Cultura	6	2	@bcn_ajuntament @cultura_cat . És MOLT VERGONYÓS, MOLT, que Barcelona , Ciutat de la Literatura?, no tingui un Museu, com cal, sobre el Llibre i les Arts Gràfiques. En teníem un, però vés a saber on para. https://t.co/EBCYwWOi32	és molt vergonyós molt que barcelona  ciutat de la literatura no tingui un museu com cal sobre el llibre i les arts gràfiques en teníem un però vés a saber on para httpstcoebcywwoi32
bcn_cat_tweet_20211021_203425.csv	9b5335daa37b384736523d2b64b98a5696524eda89a87cbfc3d22f1b00b91d16	3 Serveis Municipals	3	2	@bcn_ajuntament, las mangueras continuan tenin alas! Aquesta neteja, ara, mateix carrer St Miquel. El reforç a la, Barceloneta ni arriba a més de la pica profecionalitat https://t.co/XXZsgJIcA8	las mangueras continuan tenin alas aquesta neteja ara mateix carrer st miquel el reforç a la barceloneta ni arriba a més de la pica profecionalitat httpstcoxxzsgjica8
bcn_cat_tweet_20211021_203425.csv	eddbff9d60bee031e35bb449817de9ec27902229412bf3389e3e1ee0ba62da43	0 No utilitzable	0	0	RT @adriarz: @bcn_ajuntament @AdaColau @janetsanz i a qui pertoqui: és normal que a les 04:11 del matí 2 camions logotipats amb la imatge d…	rt     i a qui pertoqui és normal que a les 0411 del matí 2 camions logotipats amb la imatge d…
bcn_cat_tweet_20211021_203425.csv	0b1be66240232ec82a447368e8cdb2395801ac0e088bf1455379e0e05412bab2	3 Serveis Municipals	3	2	@bcn_ajuntament @AdaColau @janetsanz i a qui pertoqui: és normal que a les 04:11 del matí 2 camions logotipats amb la imatge de BCN pel Medi Ambient, estiguin recollint mobles? @elmonarac1 @maticatradio https://t.co/eR6Y9QTJ7T	i a qui pertoqui és normal que a les 0411 del matí 2 camions logotipats amb la imatge de bcn pel medi ambient estiguin recollint mobles   httpstcoer6y9qtj7t
bcn_cat_tweet_20211021_203425.csv	ee2e506f532dde14bc2a5254b0e87c20104cd56e88024416ce11aa126234b208	0 No utilitzable	0	0	@bcn_ajuntament continuem igual. Desde el diumenge aquesta és la situació del carrer Melcior de Palau entre Galileu i Joan Güell. https://t.co/NTgNo5GDXw	continuem igual desde el diumenge aquesta és la situació del carrer melcior de palau entre galileu i joan güell httpstcontgno5gdxw
bcn_cat_tweet_20211021_203425.csv	bdf1c1b7a1e2249d9cc3f8da1621ae6182e6389d1bc6d464ec16c521edc003b6	9 Mobilitat	9	2	@bcn_ajuntament Heu destrossat Barcelona. Les pvtes bicis i els pvtos patinets tenen prioritat? #Barcelonanomola	heu destrossat barcelona les pvtes bicis i els pvtos patinets tenen prioritat barcelonanomola
bcn_cat_tweet_20211021_203425.csv	8bdf8401789f65e9e22451f8c41d36114a1064e57a1b85aad713aab5c7ff7f50	0 No utilitzable	0	0	@bcn_ajuntament @IATUR També us voleu ficar amb els horaris que fem??	també us voleu ficar amb els horaris que fem
bcn_cat_tweet_20211021_203425.csv	529c576cb590088d9be20bce22be6e32931edcf301bbf7573af89e6e076eeb59	2 Politica	2	1	@bcn_ajuntament Qui us fa aquestes campanyes publicitàries tan cutres? Qui se us està cobrant un favor?Són els mateixos del "viatja amb karma"?	qui us fa aquestes campanyes publicitàries tan cutres qui se us està cobrant un favorsón els mateixos del viatja amb karma
bcn_cat_tweet_20211021_203425.csv	00d37c909df677b9ed8b301e3ac3a00ef090355a352e0913f5e687d4173d587f	3 Serveis Municipals	3	2	@bcn_ajuntament Per acabar ho d'adobar, ara hi ha gent que es dedica a buidar les papareres, deixant el terra fet un femer."Eramos pocos y parió la abuela"	per acabar ho dadobar ara hi ha gent que es dedica a buidar les papareres deixant el terra fet un femereramos pocos y parió la abuela
bcn_cat_tweet_20211021_203425.csv	43d9d0bf53e8f5be63330741e8312d5d436a9316879e00f35bb4638ac16c6df4	10 Comerç i Indústria	10	2	@bcn_ajuntament Doncs aposteu pel teletreball d'una p... vegada. En què la presencialitat només sigui simbòlica. Les empreses públiques i privades us heu escagarrinat a sobre.	doncs aposteu pel teletreball duna p vegada en què la presencialitat només sigui simbòlica les empreses públiques i privades us heu escagarrinat a sobre
bcn_cat_tweet_20211021_203425.csv	bf2cca024205792406f0fbb64f44dbe9f0a257548b54502c3b90a3c50011ba1b	9 Mobilitat	9	2	RT @Nunualoy: @bcn_ajuntament Si esta super bé la ciutat, es ideal. Al carrer Diputació tocant pl Espanya passa de 2 carrils a 1 carril Bus…	rt   si esta super bé la ciutat es ideal al carrer diputació tocant pl espanya passa de 2 carrils a 1 carril bus…
bcn_cat_tweet_20211021_203425.csv	1a51b6fb933fbdfe1e64900bd94d2158ff46fd5df5014b1343911d17cc3eb64d	2 Politica	2	1	RT @ClotDolors: @bcn_ajuntament Amb un somriure veient com heu destrossat la ciutat? Quin cinisme.	rt   amb un somriure veient com heu destrossat la ciutat quin cinisme
bcn_cat_tweet_20211021_203425.csv	6f1362aa291557c8dce106e32f1bc40f660f36522de9b2320ff680dd87bf8809	2 Politica	2	1	RT @kapdav77: @bcn_ajuntament així es com es resolen els problemes a #Barcelona, tancant tota queixa sense resposta... https://t.co/c0DpUsj…	rt   així es com es resolen els problemes a barcelona tancant tota queixa sense resposta httpstcoc0dpusj…
bcn_cat_tweet_20211021_203425.csv	86816209cd64956756c1d31432bbf32c053e7e56163d50eb594e66a28f2f8d96	2 Politica	2	1	@bcn_ajuntament esteu venent la ciutat al millor postor, encara què això passi per sacrificar als barcelonins, fent-nos fora de la NOSTRA ciutat. @EnComu_Podem @pscbarcelona @ERCbcn No teniu vergonya, però quan tots aquests marxin, no vingueu a buscar-nos. Ja serà massa tard https://t.co/eucFZtolqm	esteu venent la ciutat al millor postor encara què això passi per sacrificar als barcelonins fentnos fora de la nostra ciutat    no teniu vergonya però quan tots aquests marxin no vingueu a buscarnos ja serà massa tard httpstcoeucfztolqm
bcn_cat_tweet_20211021_203425.csv	e8c20fd477343dbe4bab070741f9382a8512d9815fc6b7385a1a72d5b45ca6b2	9 Mobilitat	9	2	@bcn_ajuntament Ens desplacem de manera diferent, però sembla ser que a l'Ajuntament no li agraden els cotxes i els volen fer fora	ens desplacem de manera diferent però sembla ser que a lajuntament no li agraden els cotxes i els volen fer fora
bcn_cat_tweet_20211021_203425.csv	24f95b61f0c2cd3a514ebbd94dd636f846bd7d956035aba58f9a01ecd197b70f	2 Politica	2	1	@bcn_ajuntament només feu postureig res més!	només feu postureig res més
bcn_cat_tweet_20211021_203425.csv	242f1a06e681a5fd02bca5d763ad32703b5960cb325bc909c80c836684a74f80	6 Cultura	6	2	@bcn_ajuntament @BCN_Accessible @bcncultura @AdaColau Ens agradaria demanar-vos a qui ens podem dirigir del departament de cultura per enviar per correu electrònic  una campanya per crear una cua inclusiva per infants a l'entrega de cartes als Reis i altres activitats de Nadal. https://t.co/nDWMHcyxNq	ens agradaria demanarvos a qui ens podem dirigir del departament de cultura per enviar per correu electrònic  una campanya per crear una cua inclusiva per infants a lentrega de cartes als reis i altres activitats de nadal httpstcondwmhcyxnq
bcn_cat_tweet_20211021_203425.csv	b5b811f3c1836113859bdf065f33453b497d8d0df6befea264940881029d3cc0	3 Serveis Municipals	3	2	@bcn_ajuntament Cada dia, la parella de neteja,  més d'una hora parlant per telèfon, ticant-se la figa, sense fotre brot. Aquests són els qui han de mantenir Barcelona neta?@janetsanz @AdaColau https://t.co/JL5B7Oqd75	cada dia la parella de neteja  més duna hora parlant per telèfon ticantse la figa sense fotre brot aquests són els qui han de mantenir barcelona neta  httpstcojl5b7oqd75
bcn_cat_tweet_20211021_203425.csv	60b5eb5e6fa1110a618ee508da083a7b5c46527bc93e3664f8497b562eb438a8	3 Serveis Municipals	3	2	@bcn_ajuntament quina modernitat. Contenidor elèctric d'última generació @Mobilitat_AMB https://t.co/myjU1cuSar	quina modernitat contenidor elèctric dúltima generació  httpstcomyju1cusar
bcn_cat_tweet_20211021_203425.csv	f9b88c7401fbc3998893b49e6a02a7069084d3ac057c9c2883b6974236eb9851	9 Mobilitat	9	2	RT @mercuryhere: @bcn_ajuntament "Per això és important reduir les presses, l'estrès i el mal humor".Mai PENSEU en el #soroll.Mai.MAI.…	rt   per això és important reduir les presses lestrès i el mal humormai penseu en el sorollmaimai…
bcn_cat_tweet_20211021_203425.csv	dad2ed6ab8c69012be55b023f6655c2b472b4298cfc4e025634157278a7ee0fc	0 No utilitzable	0	0	@bcn_ajuntament I tot això es mantindrà o tornareu a deixar que es degradi per tornar-vos a penjar una medalla i gastar 70M€ més?	i tot això es mantindrà o tornareu a deixar que es degradi per tornarvos a penjar una medalla i gastar 70m€ més
bcn_cat_tweet_20211021_203425.csv	4eb0a7a0077d42c9ff574b8a83ff6750bbe69a9c716c80394bef5ebb97bed0d8	5 Urbanisme	5	2	@bcn_ajuntament Amb 37 milions quants pisos de lloguers solidaris podríeu l'Ajuntafems construir? 10, 20, 60, 100, 500, cap?	amb 37 milions quants pisos de lloguers solidaris podríeu lajuntafems construir 10 20 60 100 500 cap
bcn_cat_tweet_20211021_203425.csv	8dab009e8b827af36d7ea0e57349f109cef6f0883cdc2f44e0f447779ff69a9e	8 OAC	8	3	@bcn_ajuntament Jaume planes i alemany per a quan?	jaume planes i alemany per a quan
bcn_cat_tweet_20211021_203425.csv	960ca90d9de6ad8795f77012eed8f083f5ba1351bf0addccfc4e49373c4676d9	11 Seguretat Ciutadana	11	3	@bcn_ajuntament ✅ okupes (que n'hi ha un fum)Kabulzelona, convertida en el femer d'Europa.	okupes que nhi ha un fumkabulzelona convertida en el femer deuropa
bcn_cat_tweet_20211021_203425.csv	9839312202c679da62c9289558d7a0b861b5b415c49d9144154210078f409f67	9 Mobilitat	9	2	RT @NisagaV: @bcn_ajuntament Toda la zona del parque de sant marti	rt   toda la zona del parque de sant marti
bcn_cat_tweet_20211021_203425.csv	b5a5ac471554f263c95cdaa1c20516cec9464007d74f2567a3264b1f30f2b1a7	9 Mobilitat	9	2	RT @estrofa2018: @bcn_ajuntament Heu tallat un mun d’arbres sans x fer un carril bici. I us dieu ecologistes? SOU UNS DESGRACIATS FDP!!! I	rt   heu tallat un mun d’arbres sans x fer un carril bici i us dieu ecologistes sou uns desgraciats fdp i
bcn_cat_tweet_20211021_203425.csv	3c9a997586584eb573d8d80ecec1ae58c396b03a01704a835c8253abdee7b5c2	4 Hisenda	4	1	RT @ESensenom: @bcn_ajuntament #ColauDimissió AUDITORIA a l'ajuntament Ja! Prop 1.000M d dèficit!!!🔥🔥🔥	rt   colaudimissió auditoria a lajuntament ja prop 1000m d dèficit
bcn_cat_tweet_20211021_203425.csv	b4304f27076fb6c17eb05e5b60dde0d3eabd7c0bf5baf5f8f07988905c56c843	2 Politica	2	1	RT @groig7: @bcn_ajuntament Quan sigueu fora de l’Ajuntament la meva felicitat serà total i el meu somriure serà brutal.	rt   quan sigueu fora de l’ajuntament la meva felicitat serà total i el meu somriure serà brutal
bcn_cat_tweet_20211021_203425.csv	c5edec091a22794f4593cc39fe11aea4484860f4df3d256bd650df26af4de9d7	9 Mobilitat	9	2	RT @badukaire2: @bcn_ajuntament i per això heu reduit el nombre de carrils i d'espai pels cotxes, per generar més embussos i més conflictes	rt   i per això heu reduit el nombre de carrils i despai pels cotxes per generar més embussos i més conflictes
bcn_cat_tweet_20211021_203425.csv	04f71bd489ebd832e30cd82759dc7f27893c66038014274fff0931a99c555ae8	10 Comerç i Indústria	10	2	@bcn_ajuntament vol congelar la majoria d'impostos i taxes, entre els quals el de les terrasses als bars i restaurants, per "combatre l'emergència social". Ho explica✍ @JordiMumbruhttps://t.co/Wr5jZNEKJj	vol congelar la majoria dimpostos i taxes entre els quals el de les terrasses als bars i restaurants per combatre lemergència social ho explica
bcn_cat_tweet_20211021_203425.csv	3a9647c4a550610b6610e0ef8c23c4ae23286cc284eb7a8a39819c6e30c46d14	2 Politica	2	1	@bcn_ajuntament El “ mal humor i l’estrès “ ens el provokeu vosaltres!!! FORA DE L’AJUNTAMENT!!! https://t.co/476VGmQ7IS	el “ mal humor i l’estrès “ ens el provokeu vosaltres fora de l’ajuntament httpstco476vgmq7is
bcn_cat_tweet_20211021_203425.csv	ee98fcc3c07f2342903de9e35b5f5fed67a84362ad06573350d8d445bccff52b	2 Politica	2	1	@bcn_ajuntament BCN es molt aprop de ser una "CHABOLA", quina llàstima esta desfeta ... operari sense mesures EPI, sense cap armilla reflectora, mig del carrer...Quina llàstima de ciutat. https://t.co/jVIlHlNMvT	bcn es molt aprop de ser una chabola quina llàstima esta desfeta  operari sense mesures epi sense cap armilla reflectora mig del carrerquina llàstima de ciutat httpstcojvilhlnmvt
bcn_cat_tweet_20211021_203425.csv	bcf06656b4ce1d3538c13a46190a30ffc389d9c1ed343471d853f984b435f97f	2 Politica	2	1	@bcn_ajuntament per què no feu una campanya per seduir a la gent que viu a Barcelona i no se’n vagi. Voleu que la ciutat quedi despoblada d’autoctons???que sigui només parc temàtic? Penseu una mica, penseu amb els que hi vivim.	per què no feu una campanya per seduir a la gent que viu a barcelona i no se’n vagi voleu que la ciutat quedi despoblada d’autoctonsque sigui només parc temàtic penseu una mica penseu amb els que hi vivim
bcn_cat_tweet_20211021_203425.csv	1df77519426215974bf8974507f46237dc5ae964b822d47c5fdca76a60972cc9	6 Cultura	6	2	RT @ERCbcn: @bcn_ajuntament 🔴 S'aprova per unanimitat la proposta d'@ERCbcn per posar el sistema educatiu al servei de la transició ecològi…	rt     saprova per unanimitat la proposta d per posar el sistema educatiu al servei de la transició ecològi…
bcn_cat_tweet_20211021_203425.csv	d8df8efb6e76ab01efc1533097a34e7b89d7a92ae3619dd3bcf689e42ef8e960	6 Cultura	6	2	@bcn_ajuntament @cultura_cat Per a quan un Museu del Llibre i les Arts Gràfiques a Barcelona ?, com per exemple:  https://t.co/2y3EkHyoxNA què espera la dita “Ciutat de la Literatura”? https://t.co/TjZ1DsYfeA	per a quan un museu del llibre i les arts gràfiques a barcelona  com per exemple  httpstco2y3ekhyoxna què espera la dita “ciutat de la literatura” httpstcotjz1dsyfea
